teaching_group,scheme_id
Year 12 Mathematics,y12m
Year 12 Further Maths,y12fm
Year 13 Mathematics,y13m
Year 13 Further Maths,y13fm
Year 12 Core Maths,y12core
Year 13 Core Maths,y13core
